	Event nb	10000	20000	50000	90000	100000	200000		10000	20000	50000	90000	100000	200000
0	xi for xi = 0.9	0.8524077332	0.884501862	0.8875178271	0.888381653	0.8855897152	0.8897621049		0.852	0.885	0.888	0.888	0.886	0.89
1	sigmaXi for xi = 0.9	0.0409337401	0.028211486	0.0178248925	0.0133069742	0.012615472	0.0089243478		0.041	0.028	0.018	0.013	0.013	0.009
2	xi for xi = 0.5	0.5334819843	0.5224614127	0.5300318852	0.5038644915				0.533	0.522	0.53	0.504		
3	sigmaXi for xi = 0.5	0.0423451704	0.0298227875	0.0188949493	0.014127971				0.042	0.03	0.019	0.014		
4	xi for xi = 0.2	0.2804814909	0.264084267	0.2408652432	0.2167838703				0.28	0.264	0.241	0.217		
5	sigmaXi for xi = 0.2	0.0427774373	0.0305226252	0.0193546048	0.0143994933				0.043	0.031	0.019	0.014		
6	xi for xi = -1.0	-1.015928743	-0.9849324751	-0.995703551	-0.994359103	-0.9922364885	-0.9965062588		-1.016	-0.985	-0.996	-0.994	-0.992	-0.997
7	sigmaXi for xi = -1.0	0.0386278439	0.027738985	0.017348644	0.0129843607	0.012300254	0.0086330153		0.039	0.028	0.017	0.013	0.012	0.009
8	xi for xi = -0.9	-0.8938830952	-0.8772109812	-0.8631967228	-0.8795801747	-0.8869834711	-0.8910280736		-0.894	-0.877	-0.863	-0.88	-0.887	-0.891
9	sigmaXi for xi = -0.9	0.0396199928	0.0282020626	0.0177201715	0.0132467969	0.0125214743	0.0088331603		0.04	0.028	0.018	0.013	0.013	0.009
